number,name,height,weight,type_1,type_2,hp,attack,defense,special-attack,special-defense,speed,generation,image_url
358,chimecho,0.6,1.0,psychic,none,75,50,80,95,90,65,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/358.png
359,absol,1.2,47.0,dark,none,65,130,60,75,60,75,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/359.png
360,wynaut,0.6,14.0,psychic,none,95,23,48,23,48,23,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/360.png
361,snorunt,0.7,16.8,ice,none,50,50,50,50,50,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/361.png
362,glalie,1.5,256.5,ice,none,80,80,80,80,80,80,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/362.png
363,spheal,0.8,39.5,ice,water,70,40,50,55,50,25,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/363.png
364,sealeo,1.1,87.6,ice,water,90,60,70,75,70,45,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/364.png
365,walrein,1.4,150.6,ice,water,110,80,90,95,90,65,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/365.png
366,clamperl,0.4,52.5,water,none,35,64,85,74,55,32,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/366.png
367,huntail,1.7,27.0,water,none,55,104,105,94,75,52,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/367.png
368,gorebyss,1.8,22.6,water,none,55,84,105,114,75,52,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/368.png
369,relicanth,1.0,23.4,water,rock,100,90,130,45,65,55,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/369.png
370,luvdisc,0.6,8.7,water,none,43,30,55,40,65,97,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/370.png
371,bagon,0.6,42.1,dragon,none,45,75,60,40,30,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/371.png
372,shelgon,1.1,110.5,dragon,none,65,95,100,60,50,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/372.png
373,salamence,1.5,102.6,dragon,flying,95,135,80,110,80,100,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/373.png
374,beldum,0.6,95.2,steel,psychic,40,55,80,35,60,30,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/374.png
375,metang,1.2,202.5,steel,psychic,60,75,100,55,80,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/375.png
376,metagross,1.6,550.0,steel,psychic,80,135,130,95,90,70,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/376.png
377,regirock,1.7,230.0,rock,none,80,100,200,50,100,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/377.png
378,regice,1.8,175.0,ice,none,80,50,100,100,200,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/378.png
379,registeel,1.9,205.0,steel,none,80,75,150,75,150,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/379.png
380,latias,1.4,40.0,dragon,psychic,80,80,90,110,130,110,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/380.png
381,latios,2.0,60.0,dragon,psychic,80,90,80,130,110,110,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/381.png
382,kyogre,4.5,352.0,water,none,100,100,90,150,140,90,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/382.png
383,groudon,3.5,950.0,ground,none,100,150,140,100,90,90,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/383.png
384,rayquaza,7.0,206.5,dragon,flying,105,150,90,150,90,95,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/384.png
385,jirachi,0.3,1.1,steel,psychic,100,100,100,100,100,100,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/385.png
386,deoxys-normal,1.7,60.8,psychic,none,50,150,50,150,50,150,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/386.png
387,turtwig,0.4,10.2,grass,none,55,68,64,45,55,31,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/387.png
388,grotle,1.1,97.0,grass,none,75,89,85,55,65,36,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/388.png
389,torterra,2.2,310.0,grass,ground,95,109,105,75,85,56,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/389.png
390,chimchar,0.5,6.2,fire,none,44,58,44,58,44,61,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/390.png
391,monferno,0.9,22.0,fire,fighting,64,78,52,78,52,81,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/391.png
392,infernape,1.2,55.0,fire,fighting,76,104,71,104,71,108,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/392.png
393,piplup,0.4,5.2,water,none,53,51,53,61,56,40,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/393.png
394,prinplup,0.8,23.0,water,none,64,66,68,81,76,50,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/394.png
395,empoleon,1.7,84.5,water,steel,84,86,88,111,101,60,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/395.png
396,starly,0.3,2.0,normal,flying,40,55,30,30,30,60,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/396.png
397,staravia,0.6,15.5,normal,flying,55,75,50,40,40,80,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/397.png
398,staraptor,1.2,24.9,normal,flying,85,120,70,50,60,100,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/398.png
399,bidoof,0.5,20.0,normal,none,59,45,40,35,40,31,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/399.png
400,bibarel,1.0,31.5,normal,water,79,85,60,55,60,71,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/400.png
401,kricketot,0.3,2.2,bug,none,37,25,41,25,41,25,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/401.png
402,kricketune,1.0,25.5,bug,none,77,85,51,55,51,65,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/402.png
403,shinx,0.5,9.5,electric,none,45,65,34,40,34,45,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/403.png
404,luxio,0.9,30.5,electric,none,60,85,49,60,49,60,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/404.png
405,luxray,1.4,42.0,electric,none,80,120,79,95,79,70,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/405.png
406,budew,0.2,1.2,grass,poison,40,30,35,50,70,55,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/406.png
407,roserade,0.9,14.5,grass,poison,60,70,65,125,105,90,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/407.png
408,cranidos,0.9,31.5,rock,none,67,125,40,30,30,58,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/408.png
409,rampardos,1.6,102.5,rock,none,97,165,60,65,50,58,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/409.png
410,shieldon,0.5,57.0,rock,steel,30,42,118,42,88,30,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/410.png
411,bastiodon,1.3,149.5,rock,steel,60,52,168,47,138,30,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/411.png
412,burmy,0.2,3.4,bug,none,40,29,45,29,45,36,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/412.png
413,wormadam-plant,0.5,6.5,bug,grass,60,59,85,79,105,36,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/413.png
414,mothim,0.9,23.3,bug,flying,70,94,50,94,50,66,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/414.png
415,combee,0.3,5.5,bug,flying,30,30,42,30,42,70,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/415.png
416,vespiquen,1.2,38.5,bug,flying,70,80,102,80,102,40,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/416.png
417,pachirisu,0.4,3.9,electric,none,60,45,70,45,90,95,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/417.png
418,buizel,0.7,29.5,water,none,55,65,35,60,30,85,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/418.png
419,floatzel,1.1,33.5,water,none,85,105,55,85,50,115,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/419.png
420,cherubi,0.4,3.3,grass,none,45,35,45,62,53,35,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/420.png
421,cherrim,0.5,9.3,grass,none,70,60,70,87,78,85,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/421.png
422,shellos,0.3,6.3,water,none,76,48,48,57,62,34,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/422.png
423,gastrodon,0.9,29.9,water,ground,111,83,68,92,82,39,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/423.png
424,ambipom,1.2,20.3,normal,none,75,100,66,60,66,115,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/424.png
425,drifloon,0.4,1.2,ghost,flying,90,50,34,60,44,70,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/425.png
426,drifblim,1.2,15.0,ghost,flying,150,80,44,90,54,80,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/426.png
427,buneary,0.4,5.5,normal,none,55,66,44,44,56,85,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/427.png
428,lopunny,1.2,33.3,normal,none,65,76,84,54,96,105,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/428.png
429,mismagius,0.9,4.4,ghost,none,60,60,60,105,105,105,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/429.png
430,honchkrow,0.9,27.3,dark,flying,100,125,52,105,52,71,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/430.png
431,glameow,0.5,3.9,normal,none,49,55,42,42,37,85,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/431.png
432,purugly,1.0,43.8,normal,none,71,82,64,64,59,112,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/432.png
433,chingling,0.2,0.6,psychic,none,45,30,50,65,50,45,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/433.png
434,stunky,0.4,19.2,poison,dark,63,63,47,41,41,74,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/434.png
435,skuntank,1.0,38.0,poison,dark,103,93,67,71,61,84,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/435.png
436,bronzor,0.5,60.5,steel,psychic,57,24,86,24,86,23,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/436.png
437,bronzong,1.3,187.0,steel,psychic,67,89,116,79,116,33,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/437.png
438,bonsly,0.5,15.0,rock,none,50,80,95,10,45,10,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/438.png
439,mime-jr,0.6,13.0,psychic,fairy,20,25,45,70,90,60,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/439.png
440,happiny,0.6,24.4,normal,none,100,5,5,15,65,30,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/440.png
441,chatot,0.5,1.9,normal,flying,76,65,45,92,42,91,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/441.png
442,spiritomb,1.0,108.0,ghost,dark,50,92,108,92,108,35,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/442.png
443,gible,0.7,20.5,dragon,ground,58,70,45,40,45,42,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/443.png
444,gabite,1.4,56.0,dragon,ground,68,90,65,50,55,82,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/444.png
445,garchomp,1.9,95.0,dragon,ground,108,130,95,80,85,102,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/445.png
446,munchlax,0.6,105.0,normal,none,135,85,40,40,85,5,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/446.png
447,riolu,0.7,20.2,fighting,none,40,70,40,35,40,60,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/447.png
448,lucario,1.2,54.0,fighting,steel,70,110,70,115,70,90,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/448.png
449,hippopotas,0.8,49.5,ground,none,68,72,78,38,42,32,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/449.png
450,hippowdon,2.0,300.0,ground,none,108,112,118,68,72,47,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/450.png
451,skorupi,0.8,12.0,poison,bug,40,50,90,30,55,65,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/451.png
452,drapion,1.3,61.5,poison,dark,70,90,110,60,75,95,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/452.png
453,croagunk,0.7,23.0,poison,fighting,48,61,40,61,40,50,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/453.png
454,toxicroak,1.3,44.4,poison,fighting,83,106,65,86,65,85,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/454.png
455,carnivine,1.4,27.0,grass,none,74,100,72,90,72,46,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/455.png
456,finneon,0.4,7.0,water,none,49,49,56,49,61,66,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/456.png
457,lumineon,1.2,24.0,water,none,69,69,76,69,86,91,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/457.png
458,mantyke,1.0,65.0,water,flying,45,20,50,60,120,50,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/458.png
459,snover,1.0,50.5,grass,ice,60,62,50,62,60,40,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/459.png
460,abomasnow,2.2,135.5,grass,ice,90,92,75,92,85,60,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/460.png
461,weavile,1.1,34.0,dark,ice,70,120,65,45,85,125,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/461.png
462,magnezone,1.2,180.0,electric,steel,70,70,115,130,90,60,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/462.png
463,lickilicky,1.7,140.0,normal,none,110,85,95,80,95,50,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/463.png
464,rhyperior,2.4,282.8,ground,rock,115,140,130,55,55,40,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/464.png
465,tangrowth,2.0,128.6,grass,none,100,100,125,110,50,50,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/465.png
466,electivire,1.8,138.6,electric,none,75,123,67,95,85,95,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/466.png
467,magmortar,1.6,68.0,fire,none,75,95,67,125,95,83,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/467.png
468,togekiss,1.5,38.0,fairy,flying,85,50,95,120,115,80,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/468.png
469,yanmega,1.9,51.5,bug,flying,86,76,86,116,56,95,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/469.png
470,leafeon,1.0,25.5,grass,none,65,110,130,60,65,95,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/470.png
471,glaceon,0.8,25.9,ice,none,65,60,110,130,95,65,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/471.png
472,gliscor,2.0,42.5,ground,flying,75,95,125,45,75,95,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/472.png
473,mamoswine,2.5,291.0,ice,ground,110,130,80,70,60,80,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/473.png
474,porygon-z,0.9,34.0,normal,none,85,80,70,135,75,90,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/474.png
475,gallade,1.6,52.0,psychic,fighting,68,125,65,65,115,80,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/475.png
476,probopass,1.4,340.0,rock,steel,60,55,145,75,150,40,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/476.png
477,dusknoir,2.2,106.6,ghost,none,45,100,135,65,135,45,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/477.png
478,froslass,1.3,26.6,ice,ghost,70,80,70,80,70,110,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/478.png
479,rotom,0.3,0.3,electric,ghost,50,50,77,95,77,91,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/479.png
480,uxie,0.3,0.3,psychic,none,75,75,130,75,130,95,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/480.png
481,mesprit,0.3,0.3,psychic,none,80,105,105,105,105,80,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/481.png
482,azelf,0.3,0.3,psychic,none,75,125,70,125,70,115,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/482.png
483,dialga,5.4,683.0,steel,dragon,100,120,120,150,100,90,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/483.png
484,palkia,4.2,336.0,water,dragon,90,120,100,150,120,100,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/484.png
485,heatran,1.7,430.0,fire,steel,91,90,106,130,106,77,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/485.png
486,regigigas,3.7,420.0,normal,none,110,160,110,80,110,100,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/486.png
487,giratina-altered,4.5,750.0,ghost,dragon,150,100,120,100,120,90,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/487.png
488,cresselia,1.5,85.6,psychic,none,120,70,120,75,130,85,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/488.png
489,phione,0.4,3.1,water,none,80,80,80,80,80,80,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/489.png
490,manaphy,0.3,1.4,water,none,100,100,100,100,100,100,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/490.png
491,darkrai,1.5,50.5,dark,none,70,90,90,135,90,125,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/491.png
492,shaymin-land,0.2,2.1,grass,none,100,100,100,100,100,100,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/492.png
493,arceus,3.2,320.0,normal,none,120,120,120,120,120,120,generation-iv,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/493.png
494,victini,0.4,4.0,psychic,fire,100,100,100,100,100,100,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/494.png
495,snivy,0.6,8.1,grass,none,45,45,55,45,55,63,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/495.png
496,servine,0.8,16.0,grass,none,60,60,75,60,75,83,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/496.png
497,serperior,3.3,63.0,grass,none,75,75,95,75,95,113,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/497.png
498,tepig,0.5,9.9,fire,none,65,63,45,45,45,45,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/498.png
499,pignite,1.0,55.5,fire,fighting,90,93,55,70,55,55,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/499.png
500,emboar,1.6,150.0,fire,fighting,110,123,65,100,65,65,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/500.png
501,oshawott,0.5,5.9,water,none,55,55,45,63,45,45,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/501.png
502,dewott,0.8,24.5,water,none,75,75,60,83,60,60,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/502.png
503,samurott,1.5,94.6,water,none,95,100,85,108,70,70,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/503.png
504,patrat,0.5,11.6,normal,none,45,55,39,35,39,42,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/504.png
505,watchog,1.1,27.0,normal,none,60,85,69,60,69,77,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/505.png
506,lillipup,0.4,4.1,normal,none,45,60,45,25,45,55,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/506.png
507,herdier,0.9,14.7,normal,none,65,80,65,35,65,60,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/507.png
508,stoutland,1.2,61.0,normal,none,85,110,90,45,90,80,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/508.png
509,purrloin,0.4,10.1,dark,none,41,50,37,50,37,66,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/509.png
510,liepard,1.1,37.5,dark,none,64,88,50,88,50,106,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/510.png
511,pansage,0.6,10.5,grass,none,50,53,48,53,48,64,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/511.png
512,simisage,1.1,30.5,grass,none,75,98,63,98,63,101,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/512.png
513,pansear,0.6,11.0,fire,none,50,53,48,53,48,64,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/513.png
514,simisear,1.0,28.0,fire,none,75,98,63,98,63,101,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/514.png
515,panpour,0.6,13.5,water,none,50,53,48,53,48,64,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/515.png
516,simipour,1.0,29.0,water,none,75,98,63,98,63,101,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/516.png
517,munna,0.6,23.3,psychic,none,76,25,45,67,55,24,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/517.png
518,musharna,1.1,60.5,psychic,none,116,55,85,107,95,29,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/518.png
519,pidove,0.3,2.1,normal,flying,50,55,50,36,30,43,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/519.png
520,tranquill,0.6,15.0,normal,flying,62,77,62,50,42,65,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/520.png
521,unfezant,1.2,29.0,normal,flying,80,115,80,65,55,93,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/521.png
522,blitzle,0.8,29.8,electric,none,45,60,32,50,32,76,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/522.png
523,zebstrika,1.6,79.5,electric,none,75,100,63,80,63,116,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/523.png
524,roggenrola,0.4,18.0,rock,none,55,75,85,25,25,15,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/524.png
525,boldore,0.9,102.0,rock,none,70,105,105,50,40,20,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/525.png
526,gigalith,1.7,260.0,rock,none,85,135,130,60,80,25,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/526.png
527,woobat,0.4,2.1,psychic,flying,65,45,43,55,43,72,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/527.png
528,swoobat,0.9,10.5,psychic,flying,67,57,55,77,55,114,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/528.png
529,drilbur,0.3,8.5,ground,none,60,85,40,30,45,68,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/529.png
530,excadrill,0.7,40.4,ground,steel,110,135,60,50,65,88,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/530.png
531,audino,1.1,31.0,normal,none,103,60,86,60,86,50,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/531.png
532,timburr,0.6,12.5,fighting,none,75,80,55,25,35,35,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/532.png
533,gurdurr,1.2,40.0,fighting,none,85,105,85,40,50,40,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/533.png
534,conkeldurr,1.4,87.0,fighting,none,105,140,95,55,65,45,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/534.png
535,tympole,0.5,4.5,water,none,50,50,40,50,40,64,generation-v,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/535.png
